系統,経由,出発時刻,到着時刻
千02,市営霊園,4:46,5:28
千02,市営霊園,5:21,6:03
千02,市営霊園,5:45,6:27
千02,市営霊園,6:03,6:45
千02,市営霊園,6:17,6:59
千02,市営霊園,6:28,7:10
千02,市営霊園,6:38,7:20
千02,市営霊園,6:48,7:30
千02,市営霊園,6:58,7:40
千02,市営霊園,7:08,7:50
千02,市営霊園,7:18,8:00
千02,市営霊園,7:28,8:10
千02,市営霊園,7:38,8:20
千02,市営霊園,7:48,8:30
千02,市営霊園,7:58,8:40
千02,市営霊園,8:08,8:50
千02,市営霊園,8:19,9:01
千02,市営霊園,8:31,9:13
千02,市営霊園,8:44,9:26
千02,市営霊園,8:57,9:39
千02,市営霊園,9:11,9:53
千02,市営霊園,9:26,10:08
千02,市営霊園,9:43,10:25
千02,市営霊園,10:03,10:45
千02,市営霊園,10:23,11:05
千02,市営霊園,10:43,11:25
千02,市営霊園,11:03,11:45
千02,市営霊園,11:23,12:05
千02,市営霊園,11:43,12:25
千02,市営霊園,12:03,12:45
千05,鶴沢町,12:18,12:59
千02,市営霊園,12:23,13:05
千05,鶴沢町,12:38,13:19
千02,市営霊園,12:43,13:25
千05,鶴沢町,12:58,13:39
千02,市営霊園,13:03,13:45
千05,鶴沢町,13:18,13:59
千02,市営霊園,13:23,14:05
千05,鶴沢町,13:33,14:14
千02,市営霊園,13:43,14:25
千05,鶴沢町,13:48,14:29
千02,市営霊園,14:03,14:45
千05,鶴沢町,14:03,14:44
千05,鶴沢町,14:18,14:59
千02,市営霊園,14:23,15:05
千05,鶴沢町,14:33,15:14
千02,市営霊園,14:43,15:25
千05,鶴沢町,14:48,15:29
千02,市営霊園,15:03,15:45
千05,鶴沢町,15:03,15:44
千05,鶴沢町,15:18,15:59
千02,市営霊園,15:21,16:03
千05,鶴沢町,15:33,16:14
千02,市営霊園,15:36,16:18
千05,鶴沢町,15:48,16:29
千02,市営霊園,15:51,16:33
千05,鶴沢町,16:03,16:44
千02,市営霊園,16:06,16:48
千05,鶴沢町,16:18,16:59
千02,市営霊園,16:21,17:03
千05,鶴沢町,16:33,17:14
千02,市営霊園,16:36,17:18
千05,鶴沢町,16:48,17:29
千02,市営霊園,16:51,17:33
千05,鶴沢町,17:03,17:44
千02,市営霊園,17:05,17:47
千02,市営霊園,17:17,17:59
千05,鶴沢町,17:18,17:59
千02,市営霊園,17:29,18:11
千05,鶴沢町,17:33,18:14
千02,市営霊園,17:42,18:24
千05,鶴沢町,17:48,18:29
千02,市営霊園,17:55,18:37
千05,鶴沢町,18:03,18:44
千02,市営霊園,18:07,18:49
千05,鶴沢町,18:18,18:59
千02,市営霊園,18:19,19:01
千02,市営霊園,18:31,19:13
千05,鶴沢町,18:33,19:14
千02,市営霊園,18:43,19:25
千05,鶴沢町,18:48,19:29
千02,市営霊園,18:55,19:37
千05,鶴沢町,19:03,19:44
千02,鶴沢町,19:07,19:49
千05,鶴沢町,19:18,19:59
千02,市営霊園,19:19,20:01
千02,市営霊園,19:31,20:13
千05,鶴沢町,19:33,20:14
千02,市営霊園,19:44,20:26
千05,鶴沢町,19:48,20:29
千02,市営霊園,19:59,20:41
千05,鶴沢町,20:03,20:44
千02,市営霊園,20:14,20:56
千05,鶴沢町,20:23,21:04
千02,市営霊園,20:30,21:12
千02,市営霊園,20:46,21:28
千02,市営霊園,21:02,21:44
千05,鶴沢町,21:08,21:49
千02,市営霊園,21:18,22:00
千05,鶴沢町,21:33,22:14
千02,市営霊園,21:36,22:18
千02,市営霊園,21:56,22:38
千05,鶴沢町,21:58,22:39
千02,市営霊園,22:16,22:58
EOF,EOF,EOF,EOF